"SET_YEAR","yStr","varStr","cvStr","n","sumWh","h"
2003,28.3714931944969,5.13716812608918,0.0798876592482802,75,1,15
2004,24.9404926301649,2.58972057552254,0.0645240213376563,75,1,15
2005,23.8311055474893,3.06358588308496,0.0734464551518638,74,1,15
2006,28.8569389473597,2.77763555243313,0.0577547050834924,86,1,15
2007,20.6097794239207,1.80265744914368,0.0651453257426072,90,1,15
2008,25.9614837306096,3.6205842630155,0.0732925480494562,90,1,15
2009,18.1207975430795,0.983578317054337,0.054730216347148,90,1,15
2010,21.0716548712062,2.16630539618297,0.0698491613870225,88,1,15
2011,19.8068163122475,1.14899078174277,0.05411823176716,110,1,15
2012,15.2391514913841,0.840769557150201,0.0601696801323041,110,1,15
2013,19.7955665131184,2.323494682725,0.0770021597656451,91,1,15
2014,13.4450208674449,1.67492906217785,0.096257976640733,91,1,15
2015,22.6421168166389,3.35398473892272,0.0808841664768632,91,1,15
2016,17.880971555327,1.87062939116673,0.0764896659964717,91,1,15
2017,28.8663522677784,5.29539091113857,0.0797181305568526,88,1,15
2018,38.3140566554382,4.62156778181585,0.0561095165013537,91,1,15
2019,41.9643467812674,6.16071219174421,0.0591473093362906,88,1,15
