"YEAR","SABLEFISH_SURVEY_IND","AvL","sex","SABLE_SET_TYPE","count"
1990,1,55.884605704698,1,"OFFSHORE STANDARDIZED",2384
1991,1,56.5062664907652,1,"OFFSHORE STANDARDIZED",1516
1992,1,58.0053318207601,1,"OFFSHORE STANDARDIZED",1763
1993,1,58.3147312541473,1,"OFFSHORE STANDARDIZED",1507
1994,1,58.7709063214014,1,"OFFSHORE STANDARDIZED",1313
1995,1,60.5869565217392,1,"OFFSHORE STANDARDIZED",621
1996,1,60.8078561917443,1,"OFFSHORE STANDARDIZED",751
1997,1,60.2079096045198,1,"OFFSHORE STANDARDIZED",708
1998,1,60.9553299492386,1,"OFFSHORE STANDARDIZED",985
1999,1,60.1839611178615,1,"OFFSHORE STANDARDIZED",823
2000,1,60.0539355992844,1,"OFFSHORE STANDARDIZED",1118
2001,1,59.84963099631,1,"OFFSHORE STANDARDIZED",542
2002,1,58.98410638988,1,"OFFSHORE STANDARDIZED",3083
2003,1,59.6099322799097,1,"OFFSHORE STANDARDIZED",3101
2004,1,59.2685777777778,1,"OFFSHORE STANDARDIZED",2250
2005,1,58.7273832684825,1,"OFFSHORE STANDARDIZED",2056
2006,1,59.62,1,"OFFSHORE STANDARDIZED",2200
2007,1,59.9843902439024,1,"OFFSHORE STANDARDIZED",1640
2008,1,60.9172131147541,1,"OFFSHORE STANDARDIZED",1586
2009,1,59.8639063906391,1,"OFFSHORE STANDARDIZED",1111
2010,1,60.2726461038961,1,"OFFSHORE STANDARDIZED",1232
1990,1,62.9427353896103,2,"OFFSHORE STANDARDIZED",2464
1991,1,67.0583464566929,2,"OFFSHORE STANDARDIZED",1270
1992,1,67.4023919043238,2,"OFFSHORE STANDARDIZED",2174
1993,1,66.6655908639523,2,"OFFSHORE STANDARDIZED",2014
1994,1,68.7929518492673,2,"OFFSHORE STANDARDIZED",1433
1995,1,70.1380165289256,2,"OFFSHORE STANDARDIZED",1089
1996,1,71.1645130183221,2,"OFFSHORE STANDARDIZED",1037
1997,1,69.8497487437186,2,"OFFSHORE STANDARDIZED",796
1998,1,71.3936150234742,2,"OFFSHORE STANDARDIZED",1065
1999,1,67.9773895169579,2,"OFFSHORE STANDARDIZED",973
2000,1,69.3774397972117,2,"OFFSHORE STANDARDIZED",1578
2001,1,69.9235862068965,2,"OFFSHORE STANDARDIZED",725
2002,1,67.516416,2,"OFFSHORE STANDARDIZED",3125
2003,1,64.8713862963806,2,"OFFSHORE STANDARDIZED",4393
2004,1,66.3789229086932,2,"OFFSHORE STANDARDIZED",3658
2005,1,65.9057629338573,2,"OFFSHORE STANDARDIZED",3054
2006,1,67.7163563829787,2,"OFFSHORE STANDARDIZED",2256
2007,1,67.5968513119533,2,"OFFSHORE STANDARDIZED",1715
2008,1,68.8031482541499,2,"OFFSHORE STANDARDIZED",1747
2009,1,68.2194558944765,2,"OFFSHORE STANDARDIZED",1213
2010,1,67.4459614010007,2,"OFFSHORE STANDARDIZED",1399
