"species_name","count"
"PACIFIC SLEEPER SHARK",1
"PACIFIC FLATNOSE",20
"PACIFIC GRENADIER",663
"GIANT GRENADIER",167
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",598
"PACIFIC OCEAN PERCH",2
"REDBANDED ROCKFISH",247
"SHORTRAKER ROCKFISH",68
"DARKBLOTCHED ROCKFISH",1
"GREENSTRIPED ROCKFISH",3
"WIDOW ROCKFISH",1
"ROSETHORN ROCKFISH",13
"YELLOWMOUTH ROCKFISH",1
"YELLOWEYE ROCKFISH",58
"SHORTSPINE THORNYHEAD",1
"LONGSPINE THORNYHEAD",1
"EMARGINATE SNAILFISH",34
"ARROWTOOTH FLOUNDER",931
"PACIFIC HALIBUT",2
"DOVER SOLE",3
